name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Yamato 86789,30295,Valid,C2-ung,340.36,Found,1986.0,-71.5,35.66667,"(-71.500000, 35.666670)"
Asuka 881145,3854,Valid,L6,340.31,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
Queen Alexandra Range 97026,20433,Valid,LL5,340.3,Found,1997.0,-84.0,168.0,"(-84.000000, 168.000000)"
De Cewsville,6621,Valid,H6,340.0,Fell,1887.0,43.0,-80.0,"(43.000000, -80.000000)"
Rochester,22637,Valid,H6,340.0,Fell,1876.0,41.08333,-86.28333,"(41.083330, -86.283330)"
Northwest Africa 255,17667,Valid,L4,340.0,Found,1999.0,29.91667,-5.58333,"(29.916670, -5.583330)"
Dhofar 087,6786,Valid,L6,340.0,Found,1999.0,19.29467,54.71117,"(19.294670, 54.711170)"
Lumpkin,14753,Valid,L6,340.0,Fell,1869.0,32.03333,-84.76667,"(32.033330, -84.766670)"
Dar al Gani 632,6179,Valid,LL3.3,340.0,Found,1998.0,26.90767,16.70167,"(26.907670, 16.701670)"
Mariaville,15419,Valid,Iron,340.0,Fell,1898.0,42.71667,-99.38333,"(42.716670, -99.383330)"
Dhofar 506,7267,Valid,H4,340.0,Found,2000.0,18.30833,54.17333,"(18.308330, 54.173330)"
Elephant Moraine 99404,9947,Valid,H4,339.6,Found,1999.0,-76.18333,157.16667,"(-76.183330, 157.166670)"
Hammadah al Hamra 095,11578,Valid,L6,339.0,Found,1995.0,28.60683,13.168,"(28.606830, 13.168000)"
Dar al Gani 305,5853,Valid,LL5,339.0,Found,1997.0,27.28617,16.07467,"(27.286170, 16.074670)"
Hammadah al Hamra 017,11500,Valid,L/LL5/6,339.0,Found,1990.0,29.03333,12.41667,"(29.033330, 12.416670)"
Allan Hills 84060,662,Valid,H5,338.9,Found,1984.0,-76.89371,156.98032,"(-76.893710, 156.980320)"
Wisconsin Range 90300,24286,Valid,L/LL5,338.1,Found,1990.0,-84.75,-125.0,"(-84.750000, -125.000000)"
Coyote Dry Lake 001,30452,Valid,H5,338.0,Found,1995.0,35.05017,-116.76683,"(35.050170, -116.766830)"
Caleta el Cobre 003,54621,Valid,H5,338.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
Tanezrouft 036,23837,Valid,H5,338.0,Found,1991.0,25.49972,0.66194,"(25.499720, 0.661940)"
Graves Nunataks 98050,11042,Valid,H3.8,337.4,Found,1998.0,-86.71667,-141.5,"(-86.716670, -141.500000)"
Dar al Gani 287,5835,Valid,L5,337.0,Found,1997.0,27.2855,16.176,"(27.285500, 16.176000)"
Dhofar 421,7199,Valid,LL5,337.0,Found,2001.0,18.77178,54.22735,"(18.771780, 54.227350)"
Dar al Gani 198,5746,Valid,H6,337.0,Found,1996.0,27.04717,16.44133,"(27.047170, 16.441330)"
Allan Hills A78102,1717,Valid,H5,336.9,Found,1978.0,-76.71667,159.66667,"(-76.716670, 159.666670)"
Queen Alexandra Range 99455,21901,Valid,L5,336.6,Found,1999.0,-84.0,168.0,"(-84.000000, 168.000000)"
Asuka 881807,4516,Valid,H6,336.48,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
Jiddat al Harasis 596,51945,Valid,L3,336.4,Found,2009.0,19.66148,56.43927,"(19.661480, 56.439270)"
Queen Alexandra Range 99093,21545,Valid,LL5,336.1,Found,1999.0,-84.0,168.0,"(-84.000000, 168.000000)"
Grove Mountains 052116,46469,Valid,L6,336.0,Found,2006.0,-72.77472,75.32361,"(-72.774720, 75.323610)"
Dhofar 370,7152,Valid,L6,336.0,Found,2000.0,19.07828,54.78712,"(19.078280, 54.787120)"
Grove Mountains 053491,50534,Valid,L6,336.0,Found,2006.0,-72.77889,75.31889,"(-72.778890, 75.318890)"
Dhofar 709,7465,Valid,LL6,336.0,Found,2001.0,18.385,54.135,"(18.385000, 54.135000)"
Sayh al Uhaymir 202,23375,Valid,CV3,335.86,Found,2001.0,21.07087,57.31117,"(21.070870, 57.311170)"
LaPaz Icefield 02228,12495,Valid,CV3,335.8,Found,2002.0,-86.36667,-70.0,"(-86.366670, -70.000000)"
Allan Hills 84009,612,Valid,Aubrite,335.6,Found,1984.0,-76.86569,158.52417,"(-76.865690, 158.524170)"
Yamato 790524,25873,Valid,LL5,335.2,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
Asuka 882030,4739,Valid,H5,335.19,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
Dar al Gani 239,5787,Valid,H6,335.0,Found,1997.0,27.18267,16.0905,"(27.182670, 16.090500)"
Ksar Ghilane 004,54555,Valid,H5,335.0,Found,2010.0,32.81755,9.95518,"(32.817550, 9.955180)"
Ashuwairif 005,56099,Valid,H4,335.0,Found,2010.0,29.3945,14.29233,"(29.394500, 14.292330)"
Dar al Gani 620,6167,Valid,L6,335.0,Found,1998.0,27.48417,16.30533,"(27.484170, 16.305330)"
Yamato 791669,27018,Valid,L4,334.85,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
Queen Alexandra Range 90204,19009,Valid,H6,334.6,Found,1990.0,-84.6109,162.14203,"(-84.610900, 162.142030)"
Pecora Escarpment 91030,18321,Valid,L5,334.5,Found,1991.0,-85.68565,-68.9372,"(-85.685650, -68.937200)"
Ramlat as Sahmah 364,55454,Valid,H6,334.46,Found,2010.0,20.50888,55.83597,"(20.508880, 55.835970)"
Jiddat al Harasis 451,48602,Valid,H6,334.313,Found,2007.0,19.74078,56.30678,"(19.740780, 56.306780)"
Dhofar 1009,6809,Valid,L4,334.23,Found,2003.0,18.5539,54.01315,"(18.553900, 54.013150)"
Kota-Kota,12351,Valid,EH3,334.0,Found,1905.0,-13.01667,34.2,"(-13.016670, 34.200000)"
Aguemour 007,406,Valid,H4,334.0,Found,1992.0,27.50778,4.60167,"(27.507780, 4.601670)"
Acfer 222,230,Valid,H5/6,334.0,Found,1991.0,27.54194,3.82778,"(27.541940, 3.827780)"
Dhofar 595,7352,Valid,H5,334.0,Found,2001.0,18.74012,54.37328,"(18.740120, 54.373280)"
Yamato 791634,26983,Valid,L4,333.77,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
Queen Alexandra Range 90234,19039,Valid,L5,333.2,Found,1990.0,-84.59484,162.29838,"(-84.594840, 162.298380)"
Dar al Gani 473,6021,Valid,H6,333.0,Found,1998.0,27.77983,16.06267,"(27.779830, 16.062670)"
Hammadah al Hamra 216,11699,Valid,H5,333.0,Found,1997.0,30.20817,12.93733,"(30.208170, 12.937330)"
Los Vientos 024,57334,Valid,L~6,333.0,Found,2011.0,-24.68333,-69.76667,"(-24.683330, -69.766670)"
Sayh al Uhaymir 079,23271,Valid,H4,333.0,Found,2000.0,21.05183,57.26967,"(21.051830, 57.269670)"
Hughes 024,11948,Valid,L5,333.0,Found,1991.0,-30.53367,129.42417,"(-30.533670, 129.424170)"
El Médano 121,56667,Valid,H5,333.0,Found,2011.0,-24.85,-70.53333,"(-24.850000, -70.533330)"
Superstition Mountain,23759,Valid,H5,333.0,Found,2000.0,32.87083,-115.7825,"(32.870830, -115.782500)"
Hammadah al Hamra 207,11690,Valid,L6,333.0,Found,1997.0,28.59217,13.34033,"(28.592170, 13.340330)"
Asuka 881911,4620,Valid,LL3,332.82,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
LaPaz Icefield 02324,12591,Valid,LL5,332.4,Found,2002.0,-86.36667,-70.0,"(-86.366670, -70.000000)"
Pecora Escarpment 91062,18353,Valid,L6,332.0,Found,1991.0,-85.69288,-67.6487,"(-85.692880, -67.648700)"
Dhofar 1042,6846,Valid,H6,332.0,Found,2000.0,18.93868,54.74035,"(18.938680, 54.740350)"
Dhofar 626,7383,Valid,L6,332.0,Found,2001.0,19.11608,54.82283,"(19.116080, 54.822830)"
Jiddat al Harasis 257,35574,Valid,H4-5,331.9,Found,2005.0,19.99102,56.48062,"(19.991020, 56.480620)"
Allan Hills 84084,686,Valid,H4,331.8,Found,1984.0,-76.89684,156.88501,"(-76.896840, 156.885010)"
Yamato 791076,26425,Valid,"Iron, ungrouped",331.8,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
Pecora Escarpment 91075,18366,Valid,L6,331.7,Found,1991.0,-85.67881,-69.06659,"(-85.678810, -69.066590)"
Sayh al Uhaymir 164,23351,Valid,H6,331.47,Found,2001.0,20.98353,57.20102,"(20.983530, 57.201020)"
Grosvenor Mountains 95536,11264,Valid,L3.3,331.2,Found,1995.0,-85.66667,175.0,"(-85.666670, 175.000000)"
El Atchane 012,7789,Valid,EL6,331.2,Found,2002.0,29.1266,4.71773,"(29.126600, 4.717730)"
Asuka 881018,3727,Valid,H4,331.09,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
Tanezrouft 006,23807,Valid,H3.7,331.0,Found,1989.0,25.53333,0.56667,"(25.533330, 0.566670)"
Dar al Gani 007,5523,Valid,H5/6,331.0,Found,1995.0,27.16233,16.09533,"(27.162330, 16.095330)"
Dhofar 504,7265,Valid,H4,331.0,Found,2000.0,18.735,54.36833,"(18.735000, 54.368330)"
Kijima (1906),12305,Valid,Stone-uncl,331.0,Fell,1906.0,36.85,138.38333,"(36.850000, 138.383330)"
Dar al Gani 196,5744,Valid,L6,331.0,Found,1996.0,27.09133,16.289,"(27.091330, 16.289000)"
Bir Zar 002,48905,Valid,L4/5,331.0,Found,2008.0,31.93833,10.28403,"(31.938330, 10.284030)"
Abajo,4,Valid,H5,331.0,Found,1982.0,26.8,-105.41667,"(26.800000, -105.416670)"
Elephant Moraine 83220,7862,Valid,L6,330.9,Found,1983.0,-76.28389,157.20056,"(-76.283890, 157.200560)"
Allan Hills A80112,1939,Valid,L6,330.7,Found,1980.0,-76.77361,159.27556,"(-76.773610, 159.275560)"
Allan Hills A78077,1692,Valid,H4,330.6,Found,1978.0,-76.71667,159.66667,"(-76.716670, 159.666670)"
Pecora Escarpment 91058,18349,Valid,L6,330.4,Found,1991.0,-85.67655,-68.69519,"(-85.676550, -68.695190)"
Asuka 881404,4113,Valid,L6,330.11,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
Zaisho,30389,Valid,"Pallasite, PMG-an",330.0,Fell,1898.0,33.7,133.8,"(33.700000, 133.800000)"
Moriarty,16744,Valid,L,330.0,Found,1975.0,34.98333,-106.05,"(34.983330, -106.050000)"
Reid 013,22568,Valid,Brachinite,330.0,Found,1991.0,-30.08333,128.91667,"(-30.083330, 128.916670)"
Dhofar 1635,55283,Valid,H5,330.0,Found,2004.0,18.94267,54.319,"(18.942670, 54.319000)"
Northwest Africa 051,17061,Valid,L4,330.0,Found,,29.91667,-5.58333,"(29.916670, -5.583330)"
Lorton,52843,Valid,L6,329.7,Fell,2010.0,38.70066,-77.21163,"(38.700660, -77.211630)"
Queen Alexandra Range 90223,19028,Valid,H6,329.5,Found,1990.0,-84.59969,162.50348,"(-84.599690, 162.503480)"
Queen Alexandra Range 99094,21546,Valid,H5,329.3,Found,1999.0,-84.0,168.0,"(-84.000000, 168.000000)"
Queen Alexandra Range 93035,19124,Valid,L5,329.3,Found,1993.0,-84.60554,162.18222,"(-84.605540, 162.182220)"
Meteorite Hills 01036,16269,Valid,LL6,329.3,Found,2001.0,-79.68333,159.75,"(-79.683330, 159.750000)"
Tiffa 003,23993,Valid,L6,329.2,Found,1997.0,20.00983,11.86567,"(20.009830, 11.865670)"
Catalina 010,57176,Valid,L~5,329.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
Dhofar 727,7483,Valid,H5,329.0,Found,2001.0,19.34333,54.73333,"(19.343330, 54.733330)"
Asuka 882031,4740,Valid,L6,328.29,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
Dhofar 567,7328,Valid,H6,328.0,Found,2001.0,18.7128,54.37842,"(18.712800, 54.378420)"
Dhofar 1144,33847,Valid,LL5,328.0,Found,2005.0,19.191222,54.671556,"(19.191222, 54.671556)"
Queen Alexandra Range 90217,19022,Valid,L5,327.7,Found,1990.0,-84.59503,162.3199,"(-84.595030, 162.319900)"
Asuka 880700,3409,Valid,H4,327.5,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
Elephant Moraine 87576,8126,Valid,H5,327.5,Found,1987.0,-76.28528,157.17764,"(-76.285280, 157.177640)"
Ramlat as Sahmah 307,51908,Valid,H4-6,327.5,Found,2009.0,20.52627,55.90595,"(20.526270, 55.905950)"
Tiffa 005,23995,Valid,H5,327.0,Found,1997.0,19.91933,11.88183,"(19.919330, 11.881830)"
Pomozdino,18863,Valid,Eucrite-cm,327.0,Found,1964.0,62.2,54.16667,"(62.200000, 54.166670)"
Queen Alexandra Range 93037,19126,Valid,L5,326.9,Found,1993.0,-84.59713,162.4001,"(-84.597130, 162.400100)"
Asuka 881120,3829,Valid,H5,326.76,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
Elephant Moraine 87579,8129,Valid,H5,326.4,Found,1987.0,-76.18333,157.16667,"(-76.183330, 157.166670)"
Jiddat al Harasis 505,50918,Valid,H5,326.2,Found,2008.0,19.69418,55.6748,"(19.694180, 55.674800)"
Yamato 793219,28568,Valid,L6,326.13,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
Sayh al Uhaymir 113,23305,Valid,H5,326.0,Found,2001.0,21.06,57.265,"(21.060000, 57.265000)"
Dhofar 035,6734,Valid,H6,326.0,Found,1999.0,19.16333,54.63667,"(19.163330, 54.636670)"
Dar al Gani 159,5707,Valid,L6,326.0,Found,1996.0,27.12017,16.20833,"(27.120170, 16.208330)"
Dhofar 1695,56320,Valid,H6,326.0,Found,2010.0,19.09578,54.80188,"(19.095780, 54.801880)"
Lewis Cliff 86021,12961,Valid,L3.5-3.9,325.8,Found,1986.0,-84.25386,161.3511,"(-84.253860, 161.351100)"
Shişr 004,23542,Valid,H5,325.7,Found,2001.0,18.58433,53.91367,"(18.584330, 53.913670)"
Elephant Moraine 96037,9631,Valid,H4-an,325.7,Found,1996.0,-76.18333,157.16667,"(-76.183330, 157.166670)"
Allan Hills 85028,894,Valid,H6,325.7,Found,1985.0,-76.84829,156.43594,"(-76.848290, 156.435940)"
Queen Alexandra Range 90225,19030,Valid,L5,325.5,Found,1990.0,-84.60102,162.22281,"(-84.601020, 162.222810)"
Elephant Moraine 82609,7834,Valid,H4,325.5,Found,1982.0,-76.18333,157.16667,"(-76.183330, 157.166670)"
Ramlat as Sahmah 341,55433,Valid,L6,325.37,Found,2010.0,20.78722,55.45475,"(20.787220, 55.454750)"
Jiddat al Harasis 211,35530,Valid,H4,325.25,Found,2002.0,19.9611,56.42873,"(19.961100, 56.428730)"
Acfer 229,237,Valid,H5,325.0,Found,1991.0,27.82611,4.24611,"(27.826110, 4.246110)"
Jiddat al Harasis 492,50682,Valid,Mesosiderite,325.0,Found,2008.0,19.98147,56.41744,"(19.981470, 56.417440)"
Erg Tiferine,30562,Valid,H5/6,325.0,Found,2001.0,27.26667,6.76667,"(27.266670, 6.766670)"
Homewood,11902,Valid,L6,325.0,Found,1970.0,49.50833,-97.81667,"(49.508330, -97.816670)"
Dhofar 265,7048,Valid,L4,324.3,Found,2001.0,18.60283,54.45517,"(18.602830, 54.455170)"
Acfer 136,145,Valid,H5,324.0,Found,1990.0,27.46667,4.05,"(27.466670, 4.050000)"
Dar al Gani 225,5773,Valid,H3.9,324.0,Found,1996.0,27.5775,16.13633,"(27.577500, 16.136330)"
Dhofar 1437,48540,Valid,H5,324.0,Found,2003.0,18.92667,54.56667,"(18.926670, 54.566670)"
Bunburra Rockhole,48653,Valid,Eucrite,324.0,Fell,2007.0,-31.35,129.19,"(-31.350000, 129.190000)"
Dhofar 136,6921,Valid,L6,324.0,Found,2000.0,18.70117,54.29083,"(18.701170, 54.290830)"
Bluewing 007,5085,Valid,L4,324.0,Found,1999.0,40.28247,-118.94872,"(40.282470, -118.948720)"
Meteorite Hills 01033,16266,Valid,L5,323.9,Found,2001.0,-79.68333,159.75,"(-79.683330, 159.750000)"
Shalim 007,23520,Valid,H6,323.85,Found,1998.0,18.52632,55.93298,"(18.526320, 55.932980)"
Shalim 008,51961,Valid,H5,323.5,Found,2009.0,18.86795,55.45073,"(18.867950, 55.450730)"
Yamato 791783,27132,Valid,H5,323.21,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
Meteorite Hills 01008,16241,Valid,LL5,323.2,Found,2001.0,-79.68333,159.75,"(-79.683330, 159.750000)"
Sayh al Uhaymir 491,51429,Valid,L3.7,323.0,Found,2008.0,20.2926,56.64225,"(20.292600, 56.642250)"
Jiddat al Harasis 546,50941,Valid,H6,322.9,Found,2008.0,19.53663,55.16012,"(19.536630, 55.160120)"
MacAlpine Hills 87312,15255,Valid,H5,322.5,Found,1987.0,-84.21667,160.5,"(-84.216670, 160.500000)"
Queen Alexandra Range 97039,20446,Valid,H5,322.4,Found,1997.0,-84.0,168.0,"(-84.000000, 168.000000)"
Yamato 793510,28859,Valid,H4,322.35,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
Sleeper Camp 003,23629,Valid,L6,322.0,Found,1989.0,-30.3,126.03333,"(-30.300000, 126.033330)"
Lewis Cliff 86023,12963,Valid,L6,322.0,Found,1986.0,-84.31892,161.76298,"(-84.318920, 161.762980)"
Allan Hills 83003,523,Valid,H5,321.8,Found,1983.0,-76.71111,159.42472,"(-76.711110, 159.424720)"
Meteorite Hills 01049,16282,Valid,LL6,321.8,Found,2001.0,-79.68333,159.75,"(-79.683330, 159.750000)"
Thiel Mountains 82404,23916,Valid,L4,321.6,Found,1982.0,-85.16488,-94.64775,"(-85.164880, -94.647750)"
MacAlpine Hills 02830,15118,Valid,H5,321.4,Found,2002.0,-84.21667,160.5,"(-84.216670, 160.500000)"
Dar al Gani 1032,5647,Valid,H3/4,321.0,Found,2000.0,27.035,16.38133,"(27.035000, 16.381330)"
Pampa de Mejillones 003,54638,Valid,H5,321.0,Found,2003.0,-23.26331,-70.45458,"(-23.263310, -70.454580)"
Dar al Gani 694,6241,Valid,L6,321.0,Found,1999.0,26.96667,16.41667,"(26.966670, 16.416670)"
Graves Nunataks 95215,10975,Valid,L4,320.6,Found,1995.0,-86.71667,-141.5,"(-86.716670, -141.500000)"
Allan Hills A81037,1997,Valid,H6,320.3,Found,1981.0,-76.71667,159.66667,"(-76.716670, 159.666670)"
Jiddat al Harasis 340,45864,Valid,L6,320.3,Found,2006.0,19.79072,56.50055,"(19.790720, 56.500550)"
Tanezrouft 087,31348,Valid,H5,320.0,Found,2003.0,25.7561,0.26792,"(25.756100, 0.267920)"
Aomori,2313,Valid,L6,320.0,Fell,1984.0,40.81056,140.78556,"(40.810560, 140.785560)"
Dhofar 236,7020,Valid,L4,320.0,Found,2000.0,19.02833,54.54833,"(19.028330, 54.548330)"
Dhofar 503,7264,Valid,H3.9,320.0,Found,2000.0,18.58167,54.405,"(18.581670, 54.405000)"
Cold Bay,5396,Valid,"Pallasite, PES",320.0,Found,1921.0,55.18333,-162.55,"(55.183330, -162.550000)"
Dar al Gani 740,6287,Valid,H5,320.0,Found,1998.0,27.15433,16.03317,"(27.154330, 16.033170)"
Acfer 176,184,Valid,LL5-6,320.0,Found,1990.0,27.48333,3.85,"(27.483330, 3.850000)"
Northwest Africa 544,17791,Valid,L3.8,320.0,Found,2000.0,31.1,-5.18333,"(31.100000, -5.183330)"
MacAlpine Hills 87314,15257,Valid,L6,319.3,Found,1987.0,-84.21667,160.5,"(-84.216670, 160.500000)"
Northwest Africa 729,17811,Valid,L5,319.0,Found,1998.0,30.33333,-5.75,"(30.333330, -5.750000)"
Sayh al Uhaymir 211,23384,Valid,H4,319.0,Found,2002.0,20.36858,56.88668,"(20.368580, 56.886680)"
El Médano 045,55700,Valid,H5,319.0,Found,2011.0,-24.85,-70.53333,"(-24.850000, -70.533330)"
Dar al Gani 469,6017,Valid,H4,319.0,Found,1998.0,27.8315,15.87433,"(27.831500, 15.874330)"
